meta_timestamp,meta_process_name,meta_pid,meta_process_path,proc_integrity,proc_elevated,proc_enabled_privilege_count,proc_module_count,proc_region_count,mod_non_file_backed_count,mem_exec_private_count,mem_mz_in_private_count,mem_high_entropy_exec_count,mem_max_exec_entropy,mem_avg_exec_entropy,alloc_total_private_committed,alloc_exec_count,alloc_mz_or_pe_count,prot_total_changes,prot_gained_exec_count,prot_lost_write_count,write_changed_region_count,write_confirmed_writer_count,nt_direct_import_count,nt_high_value_import_count,nt_syscall_stub_count,nt_hook_count,thread_total,thread_in_private_exec,rthread_new_count,rthread_from_external,mmap_anomalous_count,mmap_no_file_backing,mmap_not_in_win32,mmap_not_in_ldr,handle_external_total,handle_dangerous_count,handle_has_vm_write,handle_has_create_thread,handle_has_all_access,api_virtual_alloc_count,api_virtual_protect_count,api_protect_exec_count,api_write_memory_count,api_create_thread_count,api_total_events,perf_cpu_percent,perf_working_set_mb,perf_private_bytes_mb,perf_handle_count,perf_thread_count,perf_io_read_mb,perf_io_write_mb,sample_total_captured,sample_mz_header_count,sample_syscall_stub_count,sample_shellcode_hint_count
2026-04-29T19:36:10,LsaIso.exe,832,C:\Windows\System32\LsaIso.exe,4,1,16,19,198,0,0,0,0,-1,-1,10,0,0,0,0,0,1,0,110,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,2.27,0.84,65,1,0.0,0.0,1,0,0,0
2026-04-29T19:36:17,lsass.exe,852,C:\Windows\System32\lsass.exe,4,1,18,120,1186,0,0,0,0,-1,-1,138,0,0,0,0,0,6,0,732,3,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,7,0.0,31.97,15.2,3230,11,25.9336,1.8053,6,0,0,0
2026-04-29T19:36:24,winlogon.exe,936,C:\Windows\System32\winlogon.exe,4,1,9,49,526,0,0,0,0,-1,-1,46,0,0,0,0,0,1,1,333,2,0,0,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,4,0.0,9.4,3.81,285,6,0.026,0.0,1,0,0,0
2026-04-29T19:36:31,svchost.exe,564,C:\Windows\System32\svchost.exe,4,1,16,102,1149,0,0,0,0,-1,-1,176,0,0,0,0,0,4,4,829,4,0,0,24,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,4,0.0,34.25,15.23,2247,21,7.0391,0.375,4,0,0,0
2026-04-29T19:36:37,fontdrvhost.exe,604,C:\Windows\System32\fontdrvhost.exe,1,0,2,12,352,0,0,0,0,-1,-1,56,0,0,0,0,0,1,0,82,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,13.28,8.35,50,5,0.0,0.0,1,0,0,0
2026-04-29T19:36:44,fontdrvhost.exe,640,C:\Windows\System32\fontdrvhost.exe,1,0,2,12,212,0,0,0,0,-1,-1,24,0,0,0,0,0,1,0,82,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,3.73,3.06,50,5,0.0,0.0,1,0,0,0
2026-04-29T19:36:50,WUDFHost.exe,552,C:\Windows\System32\WUDFHost.exe,4,1,3,30,324,0,0,0,0,-1,-1,26,0,0,0,0,0,1,0,185,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.0,5.91,1.78,245,5,0.0,0.0,1,0,0,0
2026-04-29T19:36:57,svchost.exe,1088,C:\Windows\System32\svchost.exe,4,1,3,52,815,0,0,0,0,-1,-1,189,0,0,0,0,0,17,0,411,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0.0,24.09,17.16,2125,23,0.1953,0.0,17,0,0,0
2026-04-29T19:37:03,svchost.exe,1180,C:\Windows\System32\svchost.exe,4,1,17,121,1562,0,0,0,0,-1,-1,285,0,0,0,0,0,17,0,692,3,0,0,36,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,68,0,68,0.0,32.06,18.6,1282,36,63.8261,35.8822,17,0,0,0
2026-04-29T19:37:10,svchost.exe,1224,C:\Windows\System32\svchost.exe,4,1,3,135,1595,0,0,0,0,-1,-1,227,0,0,0,0,0,1,0,600,3,0,0,26,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4,0,4,0.0,50.81,23.16,2021,26,2.2304,2.5063,1,0,0,0
