num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
21,270,734,0,1,3,2,1,0.6354,100.6587,0.14,0.0,0.0,-1,-1,0,0,1,4,0,1
15,574,1,0,3,6,4,1,0.0,0.09,0.14,0.0,5242880,-1,-1,0,0,0,6,0,1
15,598,1,0,1,0,1,1082,0.0343,0.09,203.3207,0.0,5242880,-1,-1,0,0,0,5,0,1
39,293,4,0,61,3,1,123,0.0,0.09,140.2959,0.0,609856.9122,-1,-1,0,0,2,5,0,1
23,83,1,3,1,1,1,1,0.0687,0.09,0.14,312.6112,0.0,-1,-1,0,0,0,5,0,1
49,218,81,5,1,2,1,544,0.0306,0.09,0.14,3380.1864,0.0,-1,-1,0,0,0,6,0,1
12,67,54,2,1,4,7,99,3.2885,1258.2765,0.14,0.0,0.0,-1,-1,0,0,0,3,0,1
32,858,1,10,1,8,26,1,3.2342,0.09,5.7326,0.0,1918935.409,-1,-1,0,0,1,0,0,1
12,314,1,2,1,2,1,1,0.0,74.2245,0.14,225.113,0.0,-1,-1,0,0,3,30,0,1
186,111,61,0,94,0,22,136,0.0,21.9005,223.7593,0.0,0.0,-1,-1,0,0,12,2,0,1
21,1,17,4,1,0,19,1,0.0,47.9325,189.0755,0.0,0.0,-1,-1,0,0,4,9,0,1
58,1058,77,15,609,0,1,1,0.0,0.09,5.3648,126.444,1636515.4975,-1,-1,0,0,0,6,0,1
6,449,43,1,1,0,1,188,0.0,0.09,0.14,0.0,5242880,-1,-1,0,0,3,4,0,1
22,129,1,0,1,22,1,167,0.0,49.0308,0.14,0.0,635876.0657,-1,-1,0,0,2,4,0,1
17,1,27,4,11,0,2,1,0.8486,0.09,0.14,587.1639,0.0,-1,-1,0,0,0,2,0,1
8,1,41,0,49,0,5,1340,0.0,0.09,0.14,0.0,105570.71,-1,-1,0,0,0,0,0,1
32,314,1,4,1,4,1,1,6.9641,0.09,746.4994,473.9523,5242880,-1,-1,0,0,0,3,0,1
19,1,1,1,315,4,14,115,0.1274,0.09,0.14,0.0,4568374.2834,-1,-1,0,0,1,17,0,1
26,171,29,0,14,1,37,5,0.0586,58.3882,0.14,290.1356,5210748.6782,-1,-1,0,0,3,3,0,1
38,213,1,1,1,0,264,17,0.0,0.09,0.14,0.0,0.0,-1,-1,1,1,11,15,1,1
14,825,56,0,3,0,1,59,0.042,0.09,0.14,468.5491,5242880,-1,-1,0,0,0,4,0,1
20,664,100,0,1,0,1,182,0.7319,0.09,50.4443,2608.504,0.0,-1,-1,0,0,14,6,0,1
17,504,166,0,32,0,1,382,0.0,0.09,0.14,1231.4953,5242880,-1,-1,0,0,1,4,0,1
119,276,1,5,63,11,28,137,0.0,32.8981,0.14,382.2587,4441882.9364,-1,-1,0,0,3,16,0,1
4,1,1,2,342,1,1,100,0.0,154.1297,0.14,166.7113,0.0,-1,-1,0,0,2,6,0,1
116,1069,451,1,85,0,6,3260,0.0,0.09,58.0262,0.0,2574630.9143,-1,-1,0,0,2,5,0,1
121,1033,225,0,149,1,18,3278,5.0671,78.6191,0.14,0.0,0.0,-1,-1,0,0,3,5,0,1
48,1466,191,0,107,0,20,3225,0.6994,73.0873,0.14,628.0993,0.0,-1,-1,0,0,5,6,0,1
139,764,139,2,83,3,17,3220,0.212,193.0451,190.4146,145.3621,0.0,-1,-1,0,0,6,4,0,1
108,3375,1,21,1,1,17,3027,0.3641,0.09,0.14,0.0,0.0,-1,-1,0,0,4,6,0,1
116,1196,206,0,125,1,9,1,0.9127,41.1298,0.14,279.9771,0.0,-1,-1,0,0,4,5,0,1
130,582,25,0,248,18,16,452,0.1109,13.9863,68.0599,454.6896,621257.8737,-1,-1,0,0,7,6,0,1
131,920,1,6,120,0,6,3135,0.9532,487.1314,0.14,417.7177,5242880,-1,-1,0,0,6,6,0,1
117,742,95,0,91,1,10,3474,0.3583,0.09,0.14,1615.5804,0.0,-1,-1,0,0,7,7,0,1
101,1826,528,3,331,7,9,2922,0.0,0.09,0.14,1125.2942,0.0,-1,-1,0,0,5,10,0,1
135,920,467,0,72,0,14,3415,0.0,84.0267,105.1724,0.0,0.0,-1,-1,0,0,7,6,0,1
137,1075,90,0,107,0,19,3544,0.0,0.09,68.4223,467.8156,0.0,-1,-1,0,0,6,9,0,1
138,934,150,2,321,0,17,2999,0.0,104.4732,0.14,147.5686,0.0,-1,-1,0,0,6,6,0,1
123,1886,170,1,264,3,17,3247,1.9731,0.09,159.386,0.0,4705721.2639,-1,-1,0,0,4,9,0,1
132,1428,818,1,156,0,16,894,0.0,0.09,0.14,0.0,189981.916,-1,-1,0,0,8,8,0,1
4,1040,108,0,139,0,1,396,0.3744,574.6848,11.4497,0.0,1784844.5219,-1,-1,0,0,6,5,0,1
113,1045,100,3,165,0,11,3086,1.133,110.7509,395.5593,0.0,0.0,-1,-1,0,0,6,0,0,1
272,1226,1,0,34,0,17,3005,0.0,0.09,74.1737,0.0,0.0,-1,-1,0,0,7,0,0,1
123,1802,28,0,84,8,11,3109,0.0,117.1183,0.14,0.0,0.0,-1,-1,0,0,7,6,0,1
124,1362,107,4,239,0,5,1008,0.8467,76.9585,0.14,0.0,5242880,-1,-1,0,0,8,5,0,1
153,1404,201,0,144,5,10,3018,0.0,204.2754,9.3406,933.0315,0.0,-1,-1,0,0,6,6,0,1
136,1312,321,4,31,0,15,3144,0.6485,0.09,90.079,0.0,5242880,-1,-1,0,0,7,0,0,1
122,1218,131,1,733,32,7,3095,0.0,31.186,8.4985,261.486,0.0,-1,-1,0,0,6,7,0,1
143,1606,113,1,512,3,13,3237,0.0,0.09,0.14,0.0,5242880,-1,-1,0,0,0,7,0,1
85,1706,170,2,343,0,52,1294,0.0021,175.1331,64.0266,1184.2772,5242880,-1,-1,0,0,5,2,0,1
54,444,1,0,1,0,6,227,0.3736,206.4337,0.14,637.7027,2097988.1067,-1,-1,0,0,4,3,0,1
41,311,39,0,157,1,1,412,0.0,0.09,0.14,0.0,0.0,-1,-1,0,0,0,2,0,1
68,2622,1,3,95,0,1,600,0.2296,0.09,124.6802,0.0,2208461.0957,-1,-1,0,0,1,8,0,1
45,1443,749,1,1,4,7,250,0.0,0.09,112.9265,0.0,2555393.6103,-1,-1,0,0,1,3,0,1
61,666,8,0,596,1,9,231,0.0,0.09,240.1589,0.0,0.0,-1,-1,0,0,1,5,0,1
34,627,143,11,183,1,8,475,3.6535,0.09,0.14,270.1803,0.0,-1,-1,0,0,4,3,0,1
47,724,96,3,22,0,3,365,0.3644,93.339,88.5369,443.3285,0.0,-1,-1,0,0,4,4,0,1
39,695,140,9,123,2,3,348,2.0732,10.1674,109.7707,1131.9083,0.0,-1,-1,0,0,0,3,0,1
35,455,503,0,9,1,57,343,0.9782,456.2284,18.7455,0.0,1721914.7368,-1,-1,0,0,1,16,0,1
56,1463,12,15,43,0,9,1083,0.0,0.09,16.9521,1836.7283,5242880,-1,-1,0,0,1,6,0,1
77,598,164,0,521,0,3,172,0.0,342.6651,85.7328,0.0,0.0,-1,-1,0,0,0,4,0,1
