num_modules,num_memory_regions,num_private_regions,num_executable_regions,num_rw_regions,num_rx_regions,num_threads,num_handles,cpu_usage,working_set_mb,private_bytes_mb,io_read_mb,io_write_kb,entropy_mean,entropy_max,has_mz_header,has_pe_header,cross_process_writes_count,api_writeprocessmemory_count,api_createremotethread_count,ntqueueapc_present
19,198,10,0,10,0,1,65,0.0,2.27,0.84,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
120,1186,138,0,138,0,11,3230,0.0,31.97,15.2,25.9336,1848.6272,-1.0,-1.0,0,0,6,7,0,1
49,526,46,0,46,0,6,285,0.0,9.4,3.81,0.026,0.0,-1.0,-1.0,0,0,1,4,0,1
102,1149,176,0,176,0,24,2247,0.0,34.25,15.23,7.0391,384.0,-1.0,-1.0,0,0,4,4,0,1
12,352,56,0,56,0,5,50,0.0,13.28,8.35,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
12,212,24,0,24,0,5,50,0.0,3.73,3.06,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
30,324,26,0,26,0,5,245,0.0,5.91,1.78,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
52,815,189,0,189,0,23,2125,0.0,24.09,17.16,0.1953,0.0,-1.0,-1.0,0,0,17,20,0,1
121,1562,285,0,285,0,36,1282,0.0,32.06,18.6,63.8261,36743.3728,-1.0,-1.0,0,0,17,68,0,1
135,1595,227,0,227,0,26,2021,0.0,50.81,23.16,2.2304,2566.4512,-1.0,-1.0,0,0,1,4,0,1
78,977,173,0,173,0,13,1079,0.0,28.68,21.97,173.5158,57960.7552,-1.0,-1.0,0,0,2,4,0,1
98,3064,381,4,377,4,22,3741,12.884,155.18,319.66,0.6045,0.0,1.898,2.5864,0,0,10,25,0,1
291,5205,993,0,993,0,108,4301,0.195,131.61,83.51,59.5611,4129900.7488,-1.0,-1.0,0,0,67,49,0,1
105,1385,201,0,201,0,31,1130,0.0,25.39,12.99,9.1884,5489.664,-1.0,-1.0,0,0,1,7,0,1
85,1021,137,0,137,0,34,485,0.0,33.98,27.22,8.9105,2493.2352,-1.0,-1.0,0,0,1,4,0,1
35,337,35,0,35,0,5,190,0.0,6.54,2.12,69.5193,0.0,-1.0,-1.0,0,0,1,4,0,1
84,821,59,0,59,0,12,438,0.0,13.84,4.1,0.0003,0.512,-1.0,-1.0,0,0,1,4,0,1
55,819,167,0,167,0,12,426,0.0,15.9,12.6,0.0001,32.1536,-1.0,-1.0,0,0,1,4,0,1
135,1781,323,0,323,0,29,745,0.0,50.48,37.1,26.937,5126.0416,-1.0,-1.0,0,0,1,4,0,1
80,971,124,0,124,0,7,400,0.0,17.82,13.88,1.6478,0.2048,-1.0,-1.0,0,0,1,4,0,1
101,1164,107,0,107,0,10,527,0.39,41.48,27.86,89.9202,1116.2624,-1.0,-1.0,0,0,3,4,0,1
60,662,72,0,72,0,11,659,0.0,16.39,5.58,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
67,1008,202,0,202,0,7,328,0.0,30.65,13.99,82.7909,237.2608,-1.0,-1.0,0,0,43,56,0,1
40,532,70,0,70,0,9,330,0.195,16.62,9.98,0.0,0.0,-1.0,-1.0,0,0,3,12,0,1
47,396,31,0,31,0,3,229,0.0,9.73,6.55,0.8672,46.2848,-1.0,-1.0,0,0,1,4,0,1
58,1112,309,0,309,0,18,543,0.0,35.52,33.83,239.5219,20199.7312,-1.0,-1.0,0,0,2,4,0,1
37,406,34,0,34,0,5,209,0.0,7.09,1.93,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
42,460,40,0,40,0,4,372,0.0,8.8,2.45,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
50,509,33,0,33,0,3,222,0.0,10.67,2.28,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
105,1012,68,0,68,0,10,775,0.0,27.26,14.4,0.0232,2.56,-1.0,-1.0,0,0,1,4,0,1
69,1649,340,39,301,39,41,701,1.171,46.52,29.51,1836.7043,851399.0656,4.7835,6.6029,0,0,5,6,0,1
63,642,51,0,51,0,6,409,0.0,13.08,4.2,0.0,101.888,-1.0,-1.0,0,0,1,4,0,1
121,1226,166,14,152,14,51,818,0.0,33.23,18.3,15.9956,1205.5552,1.6178,4.3608,0,0,1,4,0,1
50,525,41,0,41,0,11,234,0.0,11.14,20.7,0.0079,30.5152,-1.0,-1.0,0,0,1,4,0,1
57,724,90,12,78,12,8,325,0.0,26.75,18.24,0.4284,0.3072,3.0049,6.5156,0,0,1,4,0,1
39,569,54,17,37,17,3,219,0.0,16.73,16.66,0.0535,0.0,2.2547,5.7829,0,0,1,4,0,1
123,2499,1187,0,1187,0,59,1397,0.0,68.34,245.62,16.2089,3657.6256,-1.0,-1.0,0,0,1,4,0,1
51,393,25,0,25,0,2,280,0.0,12.42,1.95,0.0,0.4096,-1.0,-1.0,0,0,1,4,0,1
64,642,99,0,99,0,35,402,0.0,20.39,11.41,5464.9402,183.0912,-1.0,-1.0,0,0,1,4,0,1
70,835,232,0,232,0,50,392,0.0,24.84,20.52,88.6395,9790.8736,-1.0,-1.0,0,0,1,4,0,1
68,593,73,0,73,0,6,295,0.0,14.3,3.52,2.9311,32.0512,-1.0,-1.0,0,0,1,4,0,1
50,580,68,14,54,14,5,277,0.0,16.92,8.43,0.0511,0.2048,1.3764,6.3422,0,0,1,4,0,1
47,492,35,0,35,0,3,348,0.0,11.78,3.83,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
34,497,111,0,111,0,38,327,0.0,7.6,11.96,0.0,64.0,-1.0,-1.0,0,0,1,4,0,1
134,1708,289,0,289,0,20,854,0.195,52.11,15.54,17.8926,26840.2688,-1.0,-1.0,0,0,1,4,0,1
140,1899,267,33,234,33,23,1388,0.0,62.66,53.66,4.0166,118.6816,4.5142,6.685,0,0,1,4,0,1
20,279,44,0,44,0,3,119,0.0,4.48,6.21,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
39,452,46,0,46,0,5,371,0.0,11.97,5.25,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
36,373,22,0,22,0,4,174,0.0,9.73,2.47,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
32,418,62,0,62,0,3,161,0.0,6.9,2.1,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
18,204,11,0,11,0,1,98,0.0,3.38,0.97,0.0,0.0,-1.0,-1.0,0,0,1,4,0,1
86,996,113,0,113,0,7,851,0.0,31.65,10.04,0.9359,196.096,-1.0,-1.0,0,0,1,4,0,1
130,2431,1370,1,1369,1,25,582,1.171,43.47,100.52,237.61,798474.4448,0.8092,0.8092,0,0,10,9,0,1
